,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,subpopulation,perturb_type_x_context,perturb_type_x_context_x_subpopulation
92,0.4615922442560385,0.1452348553117768,0.0778120405568452,-0.1276238815565924,0,0,0,0,0,0.0001944720348943,0,-0.0002374249929528,0,0,0,0,0,0,63.03813146085784,0,PSSCpure,PSSCpure0
93,0.5002853031817183,0.2525850818257331,-0.2701965630338676,0.1134455855558638,0,0,0,0,0,0.0001832835948072,0,-0.0016402818638184,0,0,0,0,0,0,64.93715514290689,0,PSSCpure,PSSCpure0
94,0.4809044749078914,0.1226475237271009,-0.0046219849625768,-0.2563263651995018,0,0,0,0,0,0.0001872556609456,0,0.0014111589585665,0,0,0,0,0,0,63.467573940261765,0,PSSCpure,PSSCpure0
95,0.4759913760137051,0.1824840646316641,0.1294716412511558,-0.2370173997599227,0,0,0,0,0,0.0001908962340823,0,0.0008505433431396,0,0,0,0,0,0,62.71561651292896,0,PSSCpure,PSSCpure0
96,0.4814689626581483,0.2679368784834675,-0.0769133309897829,-0.1992442764189508,0,0,0,0,0,0.0001849037147834,0,-0.0016542176656026,0,0,0,0,0,0,63.695928695703216,0,PSSCpure,PSSCpure0
97,0.4334252023270082,0.2465590998208129,0.0888818727209947,-0.206183886446325,0,0,0,0,0,0.0001829064395983,0,0.0007127158503632,0,0,0,0,0,0,64.04165129900343,0,PSSCpure,PSSCpure0
98,0.5023573560426389,0.0768634063613085,0.1817450131726072,-0.2297583485241483,0,0,0,0,0,0.0001941073666759,0,-0.0007070786344085,0,0,0,0,0,0,63.779793635436256,0,PSSCpure,PSSCpure0
99,0.4618840324495883,0.2490411068421414,0.0041238040102902,0.1681924579564078,0,0,0,0,0,0.0001971393705261,0,0.0014974132689948,0,0,0,0,0,0,64.52048496515386,0,PSSCpure,PSSCpure0
100,0.4973940819513278,0.0967665011049834,0.0248362205022014,-0.3420576893375664,0,0,0,0,0,0.0001867483531536,0,-0.0003964091364531,0,0,0,0,0,0,63.87958412641472,0,PSSCpure,PSSCpure0
101,0.4739146000031904,0.0795472285776797,0.0684817519470035,-0.1499401349773175,0,0,0,0,0,0.0001969845778673,0,0.0028998608626971,0,0,0,0,0,0,63.23393339199789,0,PSSCpure,PSSCpure0
102,0.5463626032359312,0.1981621555768207,-0.1875686518299875,0.122191215502458,0,0,0,0,0,0.0001807884478082,0,0.0012198948089113,0,0,0,0,0,0,64.56194890739933,0,PSSCpure,PSSCpure0
103,0.5058658147849369,0.224927747225605,-0.043020999500249,-0.2675915492313014,0,0,0,0,0,0.0001906881776182,0,0.0028381244738596,0,0,0,0,0,0,63.78698289117531,0,PSSCpure,PSSCpure0
104,0.5397564155073185,-0.0375283899560456,0.1973125838335683,-0.339831223437318,0,0,0,0,0,0.0001960700536072,0,-0.0007933105225587,0,0,0,0,0,0,65.08490000213347,0,PSSCpure,PSSCpure0
105,0.47790933167055,0.1765593373721015,-0.3216163059057577,-0.0587223931785767,0,0,0,0,0,0.0001799878818631,0,-0.002028452791027,0,0,0,0,0,0,64.72659416663018,0,PSSCpure,PSSCpure0
106,0.4498840770828978,0.0983733495913652,0.0603710983165104,-0.1581043300657647,0,0,0,0,0,0.0001955286563413,0,0.0013612156650393,0,0,0,0,0,0,63.76859175191508,0,PSSCpure,PSSCpure0
107,0.5210657829790017,0.0543191692540276,-0.0876797784944116,0.0097097200387143,0,0,0,0,0,0.0001915309517809,0,0.0019997156367922,0,0,0,0,0,0,63.63637800478526,0,PSSCpure,PSSCpure0
108,0.4698428927906852,0.1070368953551352,-0.1276092957316403,0.1375586477908474,0,0,0,0,0,0.0001968466914414,0,-0.0010077477872123,0,0,0,0,0,0,63.46345192643326,0,PSSCpure,PSSCpure0
109,0.4683027609513557,0.0617683818203662,-0.1101761031502701,-0.1386443810043325,0,0,0,0,0,0.0001979567892884,0,0.0018907605757485,0,0,0,0,0,0,64.48805292119013,0,PSSCpure,PSSCpure0
110,0.504808959623229,0.1033204280213788,0.074512296070119,-0.3295720235697428,0,0,0,0,0,0.0001794475052467,0,-0.0002514602248996,0,0,0,0,0,0,64.2616424975802,0,PSSCpure,PSSCpure0
111,0.4845819321048878,0.1821974898904423,-0.2472158040743024,-0.1669744040132805,0,0,0,0,0,0.0001994180628493,0,-0.0008142041930847,0,0,0,0,0,0,62.73554898205187,0,PSSCpure,PSSCpure0
112,0.4044517690230242,0.210831333177635,-0.0443597578941368,-0.4305238540357168,0,0,0,0,0,0.0001976729337473,0,-0.0045734828496999,0,0,0,0,0,0,66.07715468457765,0,PSSCpure,PSSCpure0
113,0.5696023520016427,-0.0616461355893911,0.0193119453106209,-0.0241847593437152,0,0,0,0,0,0.000183757705505,0,-0.0012915544964129,0,0,0,0,0,0,66.25798083063874,0,PSSCpure,PSSCpure0
114,0.469953026464847,0.1540453048330055,0.1861307294388554,-0.0088714811232519,0,0,0,0,0,0.0001966252910231,0,0.003053093963297,0,0,0,0,0,0,64.26122532603655,0,PSSCpure,PSSCpure0
115,0.52239647470057,0.2500978350848242,-0.1674340641587828,-0.0548584428546927,0,0,0,0,0,0.0001860029281087,0,-0.0010585828221716,0,0,0,0,0,0,63.86773855405568,0,PSSCpure,PSSCpure0
116,0.4850288378440806,0.208889211058858,-0.1071182235408114,-0.0023961466953585,0,0,0,0,0,0.0001751758456979,0,0.0001896898802034,0,0,0,0,0,0,63.76931865721525,0,PSSCpure,PSSCpure0
